HiTemp,LowTemp,OutHum,Dew,Bar  ,Hi SolarRad. 
8.1,8.0,72.0,3.3,1017.6,0.0
8.2,8.1,72.0,3.4,1017.8,0.0
8.2,8.1,72.0,3.3,1018.0,0.0
8.1,7.9,73.0,3.3,1018.0,0.0
7.9,7.8,73.0,3.2,1018.0,0.0
7.8,7.3,74.0,3.0,1018.1,0.0
7.3,6.9,74.0,2.6,1018.1,0.0
6.9,6.7,74.0,2.4,1018.2,0.0
7.2,6.7,71.0,2.3,1018.2,0.0
7.3,6.8,71.0,1.9,1018.2,0.0
6.8,6.2,75.0,2.1,1018.4,0.0
6.2,5.6,78.0,2.1,1018.6,0.0
5.6,5.1,80.0,1.9,1018.6,0.0
5.1,4.5,83.0,1.9,1018.6,0.0
4.5,3.9,84.0,1.5,1018.6,0.0
3.9,3.8,85.0,1.5,1018.6,0.0
3.8,3.7,86.0,1.5,1018.7,0.0
3.7,3.3,86.0,1.2,1018.7,0.0
3.3,2.9,86.0,0.8,1018.7,0.0
2.9,2.7,89.0,1.1,1018.7,0.0
2.7,2.3,89.0,0.7,1018.7,0.0
2.3,2.0,90.0,0.5,1018.7,0.0
2.0,1.7,91.0,0.4,1018.6,0.0
1.7,1.3,91.0,-0.0,1018.5,0.0
1.3,1.0,92.0,-0.0,1018.5,0.0
1.3,1.1,93.0,0.3,1018.3,0.0
1.5,1.3,94.0,0.6,1018.2,0.0
1.4,1.3,94.0,0.4,1018.2,0.0
1.3,1.1,95.0,0.6,1018.1,0.0
1.3,1.3,95.0,0.6,1018.1,0.0
1.4,1.3,95.0,0.6,1018.1,0.0
1.3,1.0,95.0,0.3,1018.1,0.0
1.0,0.8,95.0,0.1,1018.3,0.0
0.8,0.4,95.0,-0.3,1018.3,0.0
0.4,-0.1,95.0,-0.8,1018.2,0.0
-0.1,-0.1,95.0,-0.8,1018.4,0.0
-0.1,-0.1,95.0,-0.8,1018.4,0.0
-0.1,-0.2,95.0,-0.9,1018.3,0.0
-0.2,-0.3,95.0,-0.9,1018.1,0.0
0.1,-0.2,96.0,-0.5,1018.1,0.0
0.1,-0.3,96.0,-0.8,1018.0,0.0
-0.3,-0.4,96.0,-0.9,1018.0,0.0
-0.4,-0.8,96.0,-1.3,1018.0,0.0
-0.8,-0.9,96.0,-1.4,1018.0,0.0
-0.8,-0.9,96.0,-1.4,1017.8,0.0
-0.8,-0.9,96.0,-1.4,1017.8,0.0
-0.9,-1.1,96.0,-1.6,1017.6,0.0
-0.9,-1.1,96.0,-1.6,1017.5,0.0
-1.1,-1.3,96.0,-1.8,1017.5,0.0
-1.3,-1.3,96.0,-1.8,1017.4,0.0
-1.2,-1.4,96.0,-1.8,1017.5,0.0
-1.2,-1.2,96.0,-1.8,1017.5,0.0
-1.2,-1.4,96.0,-1.9,1017.4,0.0
-1.4,-1.4,96.0,-1.9,1017.2,0.0
-1.4,-1.4,96.0,-2.0,1017.2,0.0
-1.4,-1.6,96.0,-2.2,1017.3,0.0
-1.6,-1.7,96.0,-2.2,1017.3,0.0
-1.6,-1.7,96.0,-2.2,1017.3,0.0
-1.6,-1.8,96.0,-2.3,1017.5,0.0
-1.8,-2.0,96.0,-2.6,1017.6,0.0
-2.0,-2.0,96.0,-2.6,1017.6,0.0
-1.9,-2.0,96.0,-2.5,1017.7,0.0
-1.8,-1.9,96.0,-2.4,1017.7,0.0
-1.8,-2.0,96.0,-2.6,1017.7,0.0
-2.0,-2.2,96.0,-2.7,1017.9,0.0
-1.8,-2.2,96.0,-2.3,1017.8,0.0
-1.7,-1.8,96.0,-2.2,1017.8,0.0
-1.4,-1.7,96.0,-2.1,1017.8,0.0
-1.5,-1.6,96.0,-2.2,1018.0,0.0
-1.3,-1.6,96.0,-1.8,1018.0,11.0
-1.2,-1.3,96.0,-1.8,1018.0,11.0
-0.9,-1.1,96.0,-1.5,1018.1,25.0
-0.4,-0.9,96.0,-1.0,1018.1,95.0
1.3,-0.4,97.0,0.9,1017.9,97.0
2.1,1.3,97.0,1.7,1018.0,113.0
2.5,2.1,97.0,2.1,1018.0,67.0
2.9,2.5,97.0,2.5,1018.2,70.0
3.3,2.9,96.0,2.8,1018.2,77.0
3.8,3.3,90.0,2.3,1018.2,99.0
4.3,3.8,85.0,2.0,1018.4,104.0
5.4,4.3,83.0,2.8,1018.5,276.0
6.0,5.4,77.0,2.3,1018.5,297.0
6.8,6.0,72.0,2.1,1018.6,308.0
7.1,6.8,67.0,1.4,1018.5,195.0
7.2,7.1,65.0,1.0,1018.5,132.0
7.5,7.2,64.0,1.1,1018.6,253.0
8.2,7.5,66.0,2.2,1018.6,259.0
8.7,8.2,61.0,1.6,1018.6,185.0
9.4,8.7,57.0,1.3,1018.6,340.0
10.1,9.4,56.0,1.7,1018.4,391.0
10.4,10.1,54.0,1.5,1018.4,401.0
10.6,10.4,51.0,0.9,1018.2,160.0
11.3,10.6,52.0,1.8,1018.1,567.0
12.2,11.3,44.0,0.3,1018.1,450.0
12.3,12.1,45.0,0.7,1018.1,431.0
12.3,11.8,44.0,0.1,1018.3,178.0
11.9,11.8,43.0,-0.4,1018.3,164.0
12.1,11.8,43.0,-0.1,1018.2,179.0
12.8,12.1,44.0,0.8,1018.0,370.0
13.4,12.8,43.0,1.1,1018.0,662.0
13.9,13.4,40.0,0.5,1017.9,479.0
14.3,13.9,39.0,0.4,1017.9,628.0
14.3,14.2,39.0,0.4,1017.9,266.0
14.2,13.6,39.0,-0.1,1017.7,172.0
13.6,13.3,40.0,-0.1,1017.5,137.0
13.3,13.0,46.0,1.6,1017.5,160.0
13.2,13.0,45.0,1.5,1017.3,197.0
13.2,13.1,45.0,1.5,1017.2,171.0
13.2,13.1,43.0,0.8,1017.2,178.0
13.2,13.1,46.0,1.8,1017.0,151.0
13.2,13.0,45.0,1.4,1017.0,113.0
13.1,12.7,45.0,1.0,1017.0,181.0
12.7,12.4,50.0,2.3,1016.6,271.0
13.1,12.5,45.0,1.4,1016.7,310.0
14.0,13.1,44.0,1.9,1016.7,456.0
14.7,14.0,41.0,1.5,1016.5,424.0
14.7,14.1,40.0,0.6,1016.4,264.0
14.4,14.1,40.0,1.0,1016.4,401.0
15.0,14.4,37.0,0.4,1016.2,368.0
15.3,15.0,35.0,-0.2,1016.1,336.0
15.4,15.2,37.0,0.7,1016.1,318.0
15.7,15.3,35.0,0.2,1016.0,313.0
15.8,15.5,34.0,-0.2,1016.0,306.0
15.6,15.4,33.0,-0.8,1016.0,227.0
15.4,15.3,33.0,-0.9,1016.0,206.0
15.3,15.2,36.0,0.2,1016.0,181.0
15.3,15.2,36.0,0.2,1016.0,134.0
15.2,14.8,35.0,-0.5,1016.0,121.0
14.8,14.8,35.0,-0.6,1016.0,74.0
14.8,14.8,36.0,-0.1,1016.0,83.0
14.8,14.6,37.0,0.1,1016.1,63.0
14.7,14.6,34.0,-1.0,1016.3,63.0
14.8,14.7,35.0,-0.7,1016.3,56.0
14.7,14.5,34.0,-1.2,1016.4,26.0
14.5,14.2,37.0,-0.3,1016.7,25.0
14.2,13.6,39.0,-0.1,1016.7,12.0
13.6,13.0,40.0,-0.3,1017.0,0.0
12.9,12.2,44.0,0.3,1017.2,0.0
12.2,11.4,48.0,0.8,1017.2,0.0
11.4,10.9,48.0,0.3,1017.3,0.0
10.9,10.6,48.0,-0.0,1017.5,0.0
10.6,10.3,48.0,-0.3,1017.5,0.0
10.3,9.9,48.0,-0.6,1017.6,0.0
10.1,9.9,48.0,-0.5,1018.0,0.0
10.1,10.1,47.0,-0.8,1018.0,0.0
10.1,9.5,50.0,-0.4,1018.1,0.0
9.4,8.8,54.0,0.0,1018.2,0.0
8.8,8.1,55.0,-0.5,1018.2,0.0
8.1,7.5,57.0,-0.5,1018.3,0.0
7.5,6.8,62.0,-0.0,1018.5,0.0
6.8,6.2,65.0,0.1,1018.5,0.0
6.6,6.2,64.0,0.2,1018.6,0.0
6.6,6.4,63.0,-0.1,1018.6,0.0
6.4,6.2,65.0,0.1,1018.6,0.0
6.1,5.6,67.0,-0.0,1018.8,0.0
5.6,5.5,66.0,-0.2,1019.0,0.0
5.7,5.6,67.0,0.1,1019.0,0.0
5.7,5.5,68.0,0.1,1019.1,0.0
5.5,5.3,69.0,0.1,1019.1,0.0
5.3,5.1,72.0,0.4,1019.1,0.0
5.1,4.6,75.0,0.6,1019.1,0.0
4.6,4.2,75.0,0.2,1019.2,0.0
4.2,3.8,77.0,0.1,1019.2,0.0
3.8,3.4,80.0,0.3,1019.5,0.0
3.4,3.1,81.0,0.2,1019.6,0.0
3.1,2.9,82.0,0.2,1019.6,0.0
3.1,2.9,82.0,0.3,1019.6,0.0
3.4,3.1,81.0,0.5,1019.9,0.0
3.5,3.4,80.0,0.4,1019.9,0.0
3.8,3.5,80.0,0.5,1019.7,0.0
3.7,3.6,80.0,0.5,1019.6,0.0
3.6,3.4,80.0,0.3,1019.6,0.0
3.4,3.3,81.0,0.3,1019.6,0.0
3.3,3.1,81.0,0.2,1019.6,0.0
3.1,3.1,81.0,0.1,1019.6,0.0
3.1,2.7,82.0,-0.0,1019.6,0.0
2.7,2.6,80.0,-0.5,1019.7,0.0
2.6,2.4,82.0,-0.4,1019.7,0.0
2.4,2.3,81.0,-0.6,1019.7,0.0
2.3,2.0,83.0,-0.6,1019.6,0.0
1.9,1.8,84.0,-0.6,1019.6,0.0
1.8,1.6,86.0,-0.5,1019.8,0.0
1.6,1.3,85.0,-0.9,1019.8,0.0
1.3,1.0,86.0,-1.1,1019.8,0.0
1.0,0.8,87.0,-1.1,1019.6,0.0
0.8,0.7,88.0,-1.1,1019.4,0.0
0.8,0.7,88.0,-1.0,1019.4,0.0
0.8,0.6,87.0,-1.3,1019.2,0.0
